user_id,item_id,rating,timestamp
1,1,5,2026-05-10
1,2,4,2026-05-10
1,3,5,2026-05-10
2,1,4,2026-05-10
2,6,5,2026-05-10
2,8,4,2026-05-10
3,4,5,2026-05-10
3,5,4,2026-05-10
3,10,5,2026-05-10
4,5,5,2026-05-10
4,2,4,2026-05-10
5,1,5,2026-05-10
5,3,4,2026-05-10
5,7,5,2026-05-10
6,6,5,2026-05-10
6,8,5,2026-05-10
6,10,4,2026-05-10
7,4,4,2026-05-10
7,1,5,2026-05-10
8,8,5,2026-05-10
8,9,4,2026-05-10
9,1,5,2026-05-10
9,2,5,2026-05-10
9,3,4,2026-05-10
10,6,5,2026-05-10
10,7,4,2026-05-10
10,8,5,2026-05-10
1,6,2,2026-05-10
2,3,3,2026-05-10
4,10,4,2026-05-10
5,5,3,2026-05-10
